name,homepage,description,languages,proprietary
""".NET Analyzers""",https://github.com/DotNetAnalyzers,An organization for the development of analyzers (diagnostics and code fixes) using the .NET Compiler Platform,csharp,false
abaplint,https://abaplint.org/,"Linter for ABAP, written in TypeScript.",abap,false
abapOpenChecks,https://docs.abapopenchecks.org/,Enhances the SAP Code Inspector with new and customizable checks,abap,false
aether,http://aetherjs.com/,"Lint, analyze, normalize, transform, sandbox, run, step through, and visualize user JavaScript, in node or the browser.",javascript,false
After the Deadline,https://afterthedeadline.com/,"Spell, style and grammar checker.",writing,false
ale,https://github.com/w0rp/ale,Asynchronous Lint Engine for Vim and NeoVim with support for many languages,ide,false
alex,https://alexjs.com/,"Catch insensitive, inconsiderate writin",writing,false
aligncheck,https://gitlab.com/opennota/check,Find inefficiently packed structs,go,false
ameba,https://crystal-ameba.github.io/,A static code analysis tool for Crystal,crystal,false
anchore,https://anchore.io/,"Discover, analyze, and certify container images.",container,false
Android Lint,http://tools.android.com/tips/lint,Run static analysis on Android projects,mobile,false
Android Studio,https://developer.android.com/studio,"Based on IntelliJ IDEA, and comes bundled with tools for Android including Android Lint.",ide,false
android-lint-summary,https://passy.github.io/android-lint-summary/,"Combines lint errors of multiple projects into one output, check lint results of multiple sub-projects at once.",mobile,false
ansible-lint,https://docs.ansible.com/ansible-lint/,Checks playbooks for practices and behaviour that could potentially be improved,configmanagement,false
AppChecker,https://npo-echelon.ru/en/solutions/appchecker.php,"Static analysis for C/C++/C#, PHP and Java.","c, cpp, java, php",true
Application Inspector,https://www.ptsecurity.com/ww-en/products/ai/,Commercial Static Code Analysis which generates exploits to verify vulnerabilities.,"asp, c, cpp, csharp, html, java, javascript, objectivec, php, sql, swift, vbnet",true
ApplicationInspector,https://github.com/microsoft/ApplicationInspector,Creates reports of over 400 rule patterns for feature detection (e.g. the use of cryptography or version control in apps).,"c, cpp, csharp, go, html, java, javascript, objectivec, php, powershell, python, ruby",false
AppScan Source,https://www.hcltechsw.com/wps/portal/products/appscan/home,Commercial Static Code Analysis.,"asp, aspnet, c, csharp, cobol, coldfusion, cpp, java, javascript, jsp, mobile, perl, php, plsql, tsql, vbasic, vbnet, vbscript",true
APPscreener,https://solarappscreener.com/,"Static code analysis for binary and source code - Java/Scala, PHP, Javascript, C#, PL/SQL, Python, T-SQL, C/C++, ObjectiveC/Swift, Visual Basic 6.0, Ruby, Delphi, ABAP, HTML5 and Solidity.","java, scala, php, javascript, csharp, plsql, python, tsql, c, cpp, objectivec, swift, vbasic, ruby, delphi, abap, html, smart",true
ArchUnit,https://www.archunit.org/,Unit test your Java or Kotlin architecture,"java, kotlin",false
ArchUnitNET,https://github.com/TNG/ArchUnitNET, A C# architecture test library to specify and assert architecture rules in C# for automated testing,csharp,false
Astrée,https://www.absint.com/astree/index.htm,"Sound static analyzer based on abstract interpretation for C/C++, detecting memory, type and concurrency defects, and MISRA violations.","c, cpp",true
Atom-Beautify,https://atom.io/packages/atom-beautify,"Beautify HTML, CSS, JavaScript, PHP, Python, Ruby, Java, C, C++, C#, Objective-C, CoffeeScript, TypeScript, Coldfusion, SQL, and more in Atom editor","html, css, javascript, php, python, ruby, java, c, cpp, csharp, objectivec, coffeescript, typescript, coldfusion, sql",false
Attackflow Extension,https://www.attackflow.com/Extension,"Attackflow plugin for Visual Studio, which enables developers to find critical security bugs at real time in the source code without any prior knowledge.",ide,true
Axivion Bauhaus Suite,https://www.axivion.com/en/products-services-9#products_bauhaussuite,"Tracks down error-prone code locations, style violations, cloned or dead code, cyclic dependencies and more for C/C++, C#/.NET, Java and Ada 83/Ada 95.","c, cpp, java, php",true
bandit,https://bandit.readthedocs.io/en/latest/,A tool to find common security issues in Python code,python,false
bellybutton,https://github.com/hchasestevens/bellybutton,A linting engine supporting custom project-specific rules,python,false
Better Code Hub,https://bettercodehub.com,"Better Code Hub checks your GitHub codebase against 10 engineering guidelines devised by the authority in software quality, Software Improvement Group","csharp, cpp, go, groovy, java, javascript, objectivec, perl, php, python, ruby, scala, shell, smart, swift, typescript, kotlin",true
BinSkim,https://github.com/Microsoft/binskim,A binary static analysis tool that provides security and correctness results for Windows portable executables,binary,false
Black,https://black.readthedocs.io/en/stable/,The uncompromising Python code formatter,"python, formatter",false
Black Duck,ttps://www.blackducksoftware.com,"Tool to analyze source code and binaries for reusable code, necessary licenses and potential security aspects",binary,true
bodyclose,https://github.com/timakin/bodyclose,Checks whether HTTP response body is closed,go,false
Bootlint,https://github.com/twbs/bootlint,An HTML linter for Bootstrap projects,html,false
brakeman,https://brakemanscanner.org/,A static analysis security vulnerability scanner for Ruby on Rails applications,"ruby, security",false
brittany,https://github.com/lspitzner/brittany,Haskell source code formatte,haskell,false
C2Rust,https://c2rust.com/,C2Rust helps you migrate C99-compliant code to Rust. The translator (or transpiler) produces unsafe Rust code that closely mirrors the input C code,rust,false
cane,https://github.com/square/cane,Code quality threshold checking as part of your build,ruby,false
cargo-audit,https://rustsec.org/,Audit Cargo.lock for crates with security vulnerabilities reported to the [RustSec Advisory Database](https://github.com/RustSec/advisory-db/).,rust,false
cargo-inspect,https://github.com/mre/cargo-inspect,Inspect Rust code without syntactic sugar to see what the compiler does behind the curtains,rust,false
CAST Highlight,https://www.castsoftware.com/products/highlight,"Commercial Static Code Analysis which runs locally, but uploads the results to its cloud for presentation.","abap, c, cobol, cpp, csharp, java, javascript, jsp, php, plsql, python, tsql, vbasic",true
CBMC,http://www.cprover.org/cbmc/,"Bounded model-checker for C programs, user-defined assertions, standard assertions, several coverage metric analyses.","c, cpp",false
cfn-lint,https://github.com/awslabs/cfn-python-lint,AWS Labs CloudFormation linter,configmanagement,false
cfn_nag,https://github.com/stelligent/cfn_nag,A linter for AWS CloudFormation templates,configmanagement,false
Checker Framework,https://checkerframework.org/,Pluggable type-checking for Java.,java,false
checkmake,https://github.com/mrtazz/checkmake,Linter / Analyzer for Makefiles,"buildtool, make",false
Checkmarx CxSAST,https://www.checkmarx.com/products/static-application-security-testing/,Commercial Static Code Analysis which doesn't require pre-compilation.,"apex, asp, c, cpp, csharp, go, groovy, html, java, javascript, mobile, nodejs, objectivec, perl, phonegap, php, python, ruby, scala, security, swift, vbnet, vbasic, vbscript, visualforce",true
checkov,https://www.checkov.io/,"Static analysis tool for Terraform files (tf>=v0.12), preventing cloud misconfigs at build time.",configmanagement,false
checkstyle,https://checkstyle.org/,Checking Java source code for adherence to a Code Standard or set of validation rules (best practices),java,false
ChkTeX,http://www.nongnu.org/chktex/,A linter for LaTex which catches some typographic errors LaTeX oversees,latex,false
churn-php,https://github.com/bmitch/churn-php,Helps discover good candidates for refactoring,php,false
ciocheck,https://github.com/ContinuumIO/ciocheck,"Linter, formatter and test suite helper. As a linter, it is a wrapper around `pep8`, `pydocstyle`, `flake8`, and `pylint`.","python, meta, formatter",false
ck,https://github.com/mauricioaniche/ck,Calculates Chidamber and Kemerer object-oriented metrics by processing the source Java files,java,false
ckjm,http://www.spinellis.gr/sw/ckjm/,Calculates Chidamber and Kemerer object-oriented metrics by processing the bytecode of compiled Java files,java,false
clair,https://github.com/coreos/clair,Vulnerability Static Analysis for Containers,container,false
clang-tidy,http://clang.llvm.org/extra/clang-tidy/,clang static analyser,"c, cpp",false
ClassGraph,https://github.com/classgraph/classgraph,A classpath and module path scanner for querying or visualizing class metadata or class relatedness,"java, groovy, kotlin",false
clippy,https://rust-lang.github.io/rust-clippy/,A code linter to catch common mistakes and improve your Rust code,rust,false
Closure Compiler,https://developers.google.com/closure/compiler/,"A compiler tool to increase efficiency, reduce size, and provide code warnings in JavaScript files.",javascript,false
ClosureLinter,https://github.com/google/closure-linter,Ensures that all of your project's JavaScript code follows the guidelines in the Google JavaScript Style Guide. It can also automatically fix many common errors.,javascript,false
clj-kondo,ttps://github.com/borkdude/clj-kond, A linter for Clojure code that sparks joy. It informs you about potential errors while you are typing,clojure,false
CMetrics,https://github.com/MetricsGrimoire/CMetrics,Measures size and complexity for C files,"c, cpp",false
coala,https://coala.io/,Language independent framework for creating code analysis - supports [over 60 languages](https://coala.io/languages) by default.,"c, cpp, java, javascript, css",false
Cobra,http://spinroot.com/cobra/,Structural source code analyzer by NASA's Jet Propulsion Laboratory.,"ada, c, cpp, python",true
Codacy,https://www.codacy.com/,"Code Analysis to ship Better Code, Faster.",service,true
Code Analysis Rule Collection,https://carc.codeplex.com/,"'Contains a set of diagnostics, code fixes and refactorings built on the Microsoft .NET Compiler Platform ""Roslyn"".",csharp,false
Code Climate,https://codeclimate.com/,"The open and extensible static analysis platform, for everyone.",service,true
Code Inspector,https://www.code-inspector.com,Code quality and technical debt management platform that supports 10+ languages,service,true
code-cracker,http://code-cracker.github.io/,"An analyzer library for C# and VB that uses Roslyn to produce refactorings, code analysis, and other niceties.",csharp,false
Codeac,https://www.codeac.io?ref=awesome-static-analysis,"Automated code review tool integrates with GitHub, Bitbucket and GitLab (even self-hosted). Available for JavaScript, TypeScript, Python, Ruby, Go, PHP, Java, Docker, and more. (open-source free)","ci, container, go, java, javascript, php, python, ruby, service, typescript",true
codeburner,http://groupon.github.io/codeburner/,Provides a unified interface to sort and act on the issues it finds,"c, cpp, java, javascript, meta, php",false
codechecker,https://codechecker.readthedocs.io/en/latest/,A defect database and viewer extension for the Clang Static Analyzer with web GUI,"buildtool, c, cpp",false
CodeFactor,https://codefactor.io,"Static Code Analysis for C#, C, C++, CoffeeScript, CSS, Groovy, GO, JAVA, JavaScript, Less, Python, Ruby, Scala, SCSS, TypeScript.","c, coffeescript, cpp, csharp, css, go, groovy, java, javascript, less, php, python, ruby, scala, typescript",true
CodeFactor,https://codefactor.io,Automated Code Analysis for repos on GitHub or BitBucket,service,true
CodeFlow,https://www.getcodeflow.com,Automated code analysis tool to deal with technical depth. Integrates with Bitbucket and Gitlab. (free for Open Source Projects,service,true
CodeIt.Right,https://submain.com/products/codeit.right.aspx,"CodeIt.Right&trade; provides a fast, automated way to ensure that your source code adheres to (your) predefined design and style guidelines as well as best coding practices.","csharp, vbnet",true
Codelyzer,http://codelyzer.com/,A set of tslint rules for static code analysis of Angular 2 TypeScript projects,typescript,false
CodeNarc,https://codenarc.github.io/CodeNarc/,"A static analysis tool for Groovy source code, enabling monitoring and enforcement of many coding standards and best practices.",groovy,false
CodePatrol,https://cyber-security.claranet.fr/en/codepatrol,"Automated SAST code reviews driven by security, supports 15+ languages and includes security training.","ci, csharp, javascript, java, php, service, security",true
Codepeer,http://www.adacore.com/codepeer,Detects run-time and logic errors,ada,true
CodeRush,https://www.devexpress.com/products/coderush/,"Code creation, debugging, navigation, refactoring, analysis and visualization tools that use the Roslyn engine in Visual Studio 2015 and up.","aspnet, csharp, dotnet",true
CodeScene,https://empear.com/,"CodeScene prioritizes technical debt, finds social patterns and identifies hidden risks in your code.","c, cpp, csharp, elixir, go, groovy, java, javascript, kotlin, perl, php, python, typescript",true
CodeSonar from GrammaTech,https://www.grammatech.com/products/codesonar,"Advanced, whole program, deep path, static analysis of C and C++ with easy-to-understand explanations and code and path visualization.","c, cpp",true
codespell,https://github.com/codespell-project/codespell,Check code for common misspellings,writing,false
coffeelint,http://www.coffeelint.org/,A style checker that helps keep CoffeeScript code clean and consistent,coffeescript,false
CogniCrypt,https://www.eclipse.org/cognicrypt/,Checks Java source and byte code for incorrect uses of cryptographic APIs,java,false
cohesion,https://github.com/mschwager/cohesion,A tool for measuring Python class cohesion,python,false
collector,https://github.com/banyanops/collector,"Run arbitrary scripts inside containers, and gather useful information.",container,false
complexity-report,https://github.com/jared-stilwell/complexity-report,Software complexity analysis for JavaScript projects,javascript,false
cookstyle,https://docs.chef.io/cookstyle.html,Cookstyle is a linting tool based on the RuboCop Ruby linting tool for Chef cookbooks,configmanagement,false
Corrode,https://github.com/jameysharp/corrode,Semi-automatic translation from C to Rust. Could reveal bugs in the original implementation by showing Rust compiler warnings and errors. Superseded by C2Rust,"c, cpp, rust",false
Coverity,https://www.synopsys.com/software-integrity/security-testing/static-analysis-sast.html,"Synopsys Coverity supports 20 languages and over 70 frameworks including Ruby on rails, Scala, PHP, Python, JavaScript, TypeScript, Java, Fortran, C, C++, C#, VB.NET.","c, cpp, csharp, fortran, java, javascript, php, python, rails, scala, typescript, vbnet, security",true
cppcheck,http://cppcheck.sourceforge.net/,Static analysis of C/C++ code,"c, cpp",false
CppDepend,https://www.cppdepend.com,"Measure, query and visualize your code and avoid unexpected issues, technical debt and complexity.","c, cpp",true
cpplint,https://github.com/google/styleguide/tree/gh-pages/cpplint,Automated C++ checker that follows Google's style guide.,"c, cpp",false
cqc,https://github.com/xcatliu/cqc,"Check your code quality for js, jsx, vue, css, less, scss, sass and styl files.","javascript, jsx, vue, css, less",false
cqmetrics,https://github.com/dspinellis/cqmetrics,Quality metrics for C code,"c, cpp",false
credo,http://credo-ci.org/,A static code analysis tool with a focus on code consistency and teaching,elixir,false
crystal,https://crystal-lang.org/,The Crystal compiler has built-in linting functionality,crystal,false
CScout,https://www.spinellis.gr/cscout/,Complexity and quality metrics for for C and C preprocessor code,"c, cpp",false
CSharpEssentials,https://github.com/DustinCampbell/CSharpEssentials,"C# Essentials is a collection of Roslyn diagnostic analyzers, code fixes and refactorings that make it easy to work with C# 6 language features.",csharp,false
CSS Stats,https://cssstats.com/,Potentially interesting stats on stylesheets,css,false
CSScomb,https://github.com/csscomb/csscomb.js,A coding style formatter for CSS. Supports own configurations to make style sheets beautiful and consistent,"css, formatter",false
CSSLint,http://csslint.net/,Does basic syntax checking and finds problematic patterns or signs of inefficiency,css,false
cwe_checker,https://github.com/fkie-cad/cwe_checker,cwe_checker finds vulnerable patterns in binary executables,binary,false
cyclocomp,https://github.com/MangoTheCat/cyclocomp,Quantifies the cyclomatic complexity of R functions / expressions,r,false
D-scanner,https://github.com/dlang-community/D-Scanner,D-Scanner is a tool for analyzing D source code,dlang,false
Linter for dart,https://dart-lang.github.io/linter/,Style linter for Dart,dart,false
dagda,https://github.com/eliasgranderubio/dagda,Perform static analysis of known vulnerabilities in docker images/containers,container,false
dawnscanner,https://github.com/thesp0nge/dawnscanner,"A static analysis security scanner for ruby written web applications. It supports Sinatra, Padrino and Ruby on Rails frameworks.","ruby, rails",false
deadcode,https://github.com/tsenart/deadcode,Finds unused code,go,false
DeepScan,https://deepscan.io,An analyzer for JavaScript which targets runtime errors and quality issues rather than coding conventions,javascript,true
DeepCode,https://www.deepcode.ai/,"DeepCode finds bugs, security vulnerabilities, performance and API issues based on AI. DeepCode's speed of analysis allow us to analyse your code in real time and deliver results when you hit the save button in your IDE. Supported languages are Java, C/C++, JavaScript, Python, and TypeScript. Integrations with GitHub, BitBucket and Gitlab.","c, cpp, java, python, javascript, typescript",true
DeepSource,https://deepsource.io/,"In-depth static analysis to find issues in verticals of bug risks, security, anti-patterns, performance, documentation and style. Native integrations with GitHub, GitLab and Bitbucket. Less than 5% false positives.","go, python, ruby, javascript, sql, container, configmanagement",true
dennis,https://github.com/willkg/dennis/,A set of utilities for working with PO files to ease development and improve quality,translation,false
deno_lint,https://github.com/denoland/deno_lint,Official linter for Deno,deno,false
Depends,https://github.com/multilang-depends/depends,"Analyses the comprehensive dependencies of code elements for Java, C/C++, Ruby.","c, cpp, java, php",false
dephpend,https://dephpend.com/,Dependency analysis tool,php,false
deprecation-detector,https://github.com/sensiolabs-de/deprecation-detector,Finds usages of deprecated (Symfony) code,php,false
deptrac,https://github.com/sensiolabs-de/deptrac,Enforce rules for dependencies between software layers,php,false
Designite,http://www.designite-tools.com,"Designite supports detection of various architecture, design, and implementation smells, computation of various code quality metrics, and trend analysis.",csharp,true
DesigniteJava,http://www.designite-tools.com/designitejava,"DesigniteJava supports detection of various architecture, design, and implementation smells along with computation of various code quality metrics.",java,true
DesignPatternDetector,https://github.com/Halleck45/DesignPatternDetector,Detection of design patterns in PHP code,php,false
detekt,https://detekt.github.io/detekt/,Static code analysis for Kotlin code,kotlin,false
DevSkim,https://github.com/Microsoft/DevSkim,"Inline, realtime security analysis. Works with multiple programming languages and IDEs (VS, VS Code, Sublime Text, ...).",ide,false
DevSkim,https://github.com/microsoft/devskim,"Regex-based static analysis tool for Visual Studio, VS Code, and Sublime Text - C/C++, C#, PHP, ASP, Python, Ruby, Java, and others.","asp, c, cpp, ide, java, php, python, ruby",false
dingo-hunter,https://github.com/nickng/dingo-hunter,Static analyser for finding deadlocks in Go,go,false
Dlint,https://github.com/dlint-py/dlint,A tool for ensuring Python code is secure,python,false
Docker Label Inspector,https://github.com/garethr/docker-label-inspector,Lint and validate Dockerfile labels,container,false
dogsled,https://github.com/alexkohler/dogsled,Finds assignments/declarations with too many blank identifiers,go,false
dotenv-linter,https://dotenv-linter.readthedocs.io/en/latest/,Linting dotenv files like a charm,configfile,false
dupl,https://github.com/mibk/dupl,Reports potentially duplicated code,go,false
EasyCodingStandard,https://www.tomasvotruba.com/blog/2017/05/03/combine-power-of-php-code-sniffer-and-php-cs-fixer-in-3-lines/,Combine [PHP_CodeSniffer](https://github.com/squizlabs/PHP_CodeSniffer) and [PHP-CS-Fixer](https://github.com/FriendsOfPHP/PHP-CS-Fixer).,php,false
effective_dart,ttps://pub.dev/packages/effective_dar,Linter rules corresponding to the guidelines in Effective Dart,dart,false
electrolysis,http://kha.github.io/electrolysis/,A tool for formally verifying Rust programs by transpiling them into definitions in the Lean theorem prover,rust,false
elm-analyse,https://stil4m.github.io/elm-analyse/,"A tool that allows you to analyse your Elm code, identify deficiencies and apply best practices.",elm,false
elm-review,https://package.elm-lang.org/packages/jfmengels/elm-review/latest/,"Analyzes whole Elm projects, with a focus on shareable and custom rules written in Elm that add guarantees the Elm compiler doesn't give you.",elm,false
elvis,https://github.com/inaka/elvis,Erlang Style Reviewer,erlang,false
ember-template-lint,https://github.com/ember-template-lint/ember-template-lint,Linter for Ember or Handlebars templates,template,false
Embold,https://embold.io,"Intelligent software analytics platform that identifies design issues, code issues, duplication and metrics. Supports Java, C, C++, C#, JavaScript, TypeScript, Python, Go, Kotlin and more.","java, c, cpp, csharp, javascript, typescript, python, go, kotlin, service",true
